,Unnamed: 0,bodyId,type,class,subclass,hemilineage,size,predictedNt,predictedNtProb,somaSide,motor module,step contribution
116,116,10313,AN18B001,ascending neuron,BA,18B,5558380490,acetylcholine,0.9516200504191265,LHS,,
117,117,10314,AN04B001,ascending neuron,IA,04B,4731479506,acetylcholine,0.8918936319384289,LHS,,
118,118,10315,DNb05,descending neuron,xn,,4623723911,acetylcholine,0.9260454946946992,,,
119,119,10317,IN19A004,intrinsic neuron,IR,19A,4862215024,gaba,0.7785139527048652,LHS,,
120,120,10318,IN07B026,intrinsic neuron,BI,07B,1323190134,acetylcholine,0.9717497012135492,LHS,,
121,121,10320,IN13B001,intrinsic neuron,CR,13B,4900685152,gaba,0.8597175258381214,RHS,,
122,122,10322,AN07B022,ascending neuron,BA,07B,4634874028,acetylcholine,0.8406336172612201,LHS,,
123,123,10323,DNp15,descending neuron,ut,,3180783527,acetylcholine,0.8554642553918784,,,
124,124,10328,IN01A002,intrinsic neuron,BI,01A,4618052473,acetylcholine,0.9403906874351428,LHS,,
125,125,10330,IN27X002,intrinsic neuron,BI,27X,6055890171,glutamate,0.3510780031973732,RHS,,
126,126,10331,DNp02,descending neuron,lt,,4565977086,acetylcholine,0.8548245998190641,,,
127,127,10332,IN08A002,intrinsic neuron,IR,08A,5544761367,glutamate,0.9217993860416208,LHS,,
128,128,10334,AN18B018,ascending neuron,BA,18B,4344489197,acetylcholine,0.7846993280900616,LHS,,
129,129,10335,IN07B009,intrinsic neuron,BI,07B,4580397951,acetylcholine,0.770280640602391,RHS,,
130,130,10336,DNxn096,descending neuron,xn,,4648362008,gaba,0.8861862062496406,,,
131,131,10338,AN19B007,ascending neuron,BA,19B,5426770959,acetylcholine,0.9060699452370924,LHS,,
132,132,10339,DNxl058,descending neuron,xl,,7435937069,acetylcholine,0.9416000561611876,,,
133,133,10340,IN07B005,intrinsic neuron,BI,07B,4534455097,acetylcholine,0.8492061999322609,LHS,,
134,134,10342,IN09A002,intrinsic neuron,IR,09A,3930318211,gaba,0.6508146780528343,LHS,,
135,135,10344,AN17A002,ascending neuron,IA,17A,3700336994,acetylcholine,0.9208510022659524,LHS,,
136,136,10348,IN27X003,intrinsic neuron,BI,27X,8156027728,gaba,0.856561701004799,RHS,,
137,137,10351,AN19A009,ascending neuron,BA,19A,5222603596,acetylcholine,0.881989581643001,RHS,,
138,138,10354,IN08A002,intrinsic neuron,IR,08A,5541935227,glutamate,0.8679226423144651,RHS,,
139,139,10362,IN03A001,intrinsic neuron,II,03A,4931679048,acetylcholine,0.7713300149374462,LHS,,
140,140,10363,IN19A002,intrinsic neuron,IR,19A,4442078751,gaba,0.5089681274418089,RHS,,
141,141,10367,IN12B003,intrinsic neuron,BI,12B,5220363537,gaba,0.8504594994170318,LHS,,
142,142,10370,IN12B008,intrinsic neuron,BR,12B,4848748323,gaba,0.8629316835070517,LHS,,
143,143,10373,IN07B002,intrinsic neuron,BI,07B,4747848558,acetylcholine,0.7143646910256071,LHS,,
144,144,10374,,intrinsic neuron,BI,TBD,4437456627,gaba,0.7142077517522755,LHS,,
145,145,10376,IN19A001,intrinsic neuron,II,19A,5263117121,acetylcholine,0.9635949563383984,RHS,,
146,146,10381,,ascending neuron,BA,TBD,4394876638,gaba,0.8316832215008529,RHS,,
147,147,10385,IN19B005,intrinsic neuron,BR,19B,4398760634,acetylcholine,0.822592528692147,LHS,,
148,148,10387,IN04B001,intrinsic neuron,II,04B,4979164706,acetylcholine,0.9258132465227916,LHS,,
149,149,10389,IN13A027,intrinsic neuron,IR,13A,517594307,gaba,0.8276017252997144,LHS,,
150,150,10390,IN12B008,intrinsic neuron,BR,12B,4407248281,gaba,0.8606948641266075,RHS,,
151,151,10395,IN08A003,intrinsic neuron,BR,08A,3889237815,glutamate,0.952379131757285,RHS,,
152,152,10396,IN03B010,intrinsic neuron,BI,03B,4386235991,gaba,0.8714785044877339,RHS,,
153,153,10397,AN12B004,ascending neuron,BA,12B,4856614929,gaba,0.8524681196458577,RHS,,
154,154,10399,DNxl046,descending neuron,xl,,4398656487,gaba,0.9222294463877168,,,
155,155,10400,AN27X001,ascending neuron,BA,27X,4774243784,gaba,0.3701006100111564,RHS,,
156,156,10404,IN07B002,intrinsic neuron,BI,07B,5345263320,acetylcholine,0.7784886203153779,RHS,,
157,157,10410,DNd03,descending neuron,xn,,4666700217,glutamate,0.789648282984143,,,
158,158,10411,,ascending neuron,CA,TBD,3276173473,glutamate,0.9616743350678092,LHS,,
159,159,10412,IN03A001,intrinsic neuron,II,03A,4932588106,acetylcholine,0.7702588749860578,RHS,,
160,160,10413,AN04B001,ascending neuron,IA,04B,4651874535,acetylcholine,0.903634296557492,RHS,,
161,161,10414,IN04B001,intrinsic neuron,II,04B,4312554687,acetylcholine,0.8539789524611269,RHS,,
162,162,10416,IN07B002,intrinsic neuron,BI,07B,4967335038,acetylcholine,0.6342590803912348,LHS,,
163,163,10418,AN07B004,ascending neuron,BA,07B,4134601034,acetylcholine,0.9509851594642084,LHS,,
164,164,10419,,ascending neuron,BA,TBD,4447177968,gaba,0.857835064583801,LHS,,
165,165,10420,DNxl046,descending neuron,xl,,4221158875,gaba,0.9352711314229922,,,
166,166,10422,IN19A006,intrinsic neuron,II,19A,4283561567,acetylcholine,0.8953127233515615,RHS,,
167,167,10423,IN07B006,intrinsic neuron,BI,07B,3891064441,glutamate,0.911099344392145,RHS,,
168,168,10424,IN14A004,intrinsic neuron,CR,14A,3950106714,gaba,0.6757683421448044,LHS,,
169,169,10427,IN19A002,intrinsic neuron,IR,19A,4612383668,gaba,0.6392603147386541,RHS,,
170,170,10428,DNp31,descending neuron,ut,,4156586995,acetylcholine,0.885321434935116,,,
171,171,10429,AN03B008,ascending neuron,BA,03B,5224389229,gaba,0.8080100838143913,LHS,,
172,172,10435,IN27X003,intrinsic neuron,BI,27X,4190280049,gaba,0.8905468332613752,LHS,,
173,173,10436,DNp31,descending neuron,ut,,4111635505,acetylcholine,0.8785381999950218,,,
174,174,10440,IN07B009,intrinsic neuron,BI,07B,4172169491,acetylcholine,0.7733046020175525,LHS,,
175,175,10441,IN27X003,intrinsic neuron,BI,27X,8268470849,gaba,0.8121561366050484,LHS,,
176,176,10443,AN07B004,ascending neuron,BA,07B,4164525961,acetylcholine,0.9512625788848376,RHS,,
177,177,10445,IN09A002,intrinsic neuron,IR,09A,4204994768,gaba,0.7074054806616642,RHS,,
178,178,10448,AN09B005,ascending neuron,CA,09B,1952644518,acetylcholine,0.7617706124911141,LHS,,
179,179,10449,AN19A009,ascending neuron,BA,19A,4113766108,acetylcholine,0.8540016535442958,RHS,,
180,180,10450,IN19B005,intrinsic neuron,BR,19B,4657031666,acetylcholine,0.8207518548174888,RHS,,
181,181,10451,AN18B018,ascending neuron,BA,18B,4489317348,acetylcholine,0.7972689638772978,RHS,,
182,182,10452,AN03B010,ascending neuron,BA,03B,4362942680,gaba,0.8862405404849341,RHS,,
183,183,10454,IN18B002,intrinsic neuron,BI,18B,4291195089,acetylcholine,0.7464778689328112,RHS,,
184,184,10456,IN07B006,intrinsic neuron,BI,07B,4130371665,glutamate,0.9293721225064048,LHS,,
185,185,10463,IN07B007,intrinsic neuron,BI,07B,4083907468,glutamate,0.961413915901836,LHS,,
186,186,10465,DNg35,descending neuron,xl,,4035266862,acetylcholine,0.8412741563481715,,,
187,187,10466,DNxl040,descending neuron,xl,,5690258628,gaba,0.929882465888385,,,
188,188,10470,AN03B010,ascending neuron,BA,03B,4198476071,gaba,0.8956983782572934,LHS,,
189,189,10472,,intrinsic neuron,BI,TBD,4381874067,acetylcholine,0.6859413575259073,RHS,,
190,190,10474,IN07B013,intrinsic neuron,BI,07B,3723451649,glutamate,0.956839263102888,LHS,,
191,191,10476,DNg35,descending neuron,xl,,4030125726,acetylcholine,0.81310296358743,,,
192,192,10477,IN00A001,intrinsic neuron,BI,00A,8904314085,gaba,0.4038634696269411,Midline,,
193,193,10485,IN18B002,intrinsic neuron,BI,18B,4018963375,acetylcholine,0.8423319742133936,RHS,,
194,194,10490,IN18B002,intrinsic neuron,BI,18B,4433354930,acetylcholine,0.7469997778265022,LHS,,
195,195,10491,DNd03,descending neuron,xn,,5093916803,glutamate,0.7990487495470739,,,
196,196,10494,AN19B007,ascending neuron,BA,19B,5137508383,acetylcholine,0.9157217095741944,RHS,,
197,197,10496,,intrinsic neuron,BI,TBD,4613982945,gaba,0.7836034198423959,RHS,,
198,198,10501,IN13B002,intrinsic neuron,CR,13B,3869488260,gaba,0.8191862821772797,RHS,,
199,199,10502,AN03B008,ascending neuron,BA,03B,5238365769,gaba,0.8413089855358891,RHS,,
200,200,10503,IN19A001,intrinsic neuron,IR,19A,4881930770,gaba,0.8054182868637275,RHS,,
201,201,10504,,intrinsic neuron,BI,TBD,3960889865,acetylcholine,0.8218482211082984,RHS,,
202,202,10506,DNa10,descending neuron,xn,,4005323614,acetylcholine,0.910491296173519,,,
203,203,10512,AN02A001,ascending neuron,BA,02A,8804466491,glutamate,0.9496898468112802,RHS,,
204,204,10515,SNta24,sensory neuron,,,78246126,glutamate,0.4997715768053807,,,
205,205,10516,AN04A001,ascending neuron,BA,04A,4036087391,acetylcholine,0.8385483505412621,LHS,,
206,206,10519,AN18B007,ascending neuron,BA,18B,4444527111,acetylcholine,0.8666763778513702,RHS,,
207,207,10522,IN19A005,intrinsic neuron,II,19A,4220475486,acetylcholine,0.7349931600835624,RHS,,
208,208,10526,DNd02,descending neuron,xl,,4179545278,glutamate,0.6987478299213774,,,
209,209,10528,AN19A009,ascending neuron,BA,19A,4237925744,acetylcholine,0.8847507462578658,LHS,,
210,210,10530,IN08A003,intrinsic neuron,BR,08A,3860432232,glutamate,0.950722529965905,LHS,,
211,211,10531,DNa10,descending neuron,xn,,3810231090,acetylcholine,0.9183916718041394,,,
212,212,10532,DNxl040,descending neuron,xl,,5812268633,gaba,0.9497859377909186,,,
213,213,10535,DNg38,descending neuron,xl,,3850754446,acetylcholine,0.8683843018805987,,,
214,214,10536,,intrinsic neuron,BI,TBD,3846852847,acetylcholine,0.700839534793263,LHS,,
215,215,10538,IN08B003,intrinsic neuron,BI,08B,3861511171,acetylcholine,0.9629747246927268,RHS,,
216,216,10540,AN07B004,ascending neuron,BA,07B,4313043044,acetylcholine,0.964092135389895,RHS,,
217,217,10541,AN06B035,ascending neuron,BA,06B,1299961086,gaba,0.7647719899268917,LHS,,
218,218,10545,IN18B002,intrinsic neuron,BI,18B,3894587009,acetylcholine,0.8173173127551518,LHS,,
219,219,10550,AN03B010,ascending neuron,IA,03B,3834738438,gaba,0.8871373248285369,LHS,,
220,220,10551,IN19A007,intrinsic neuron,IR,19A,2488163617,gaba,0.5224150877826946,LHS,,
221,221,10553,IN13A009,intrinsic neuron,IR,13A,2061595958,gaba,0.7845054143519463,RHS,,
222,222,10557,,ascending neuron,BA,TBD,5275736340,acetylcholine,0.7678151833687611,RHS,,
223,223,10560,AN06B001,ascending neuron,BA,06B,4168771793,gaba,0.8260547204709348,RHS,,
224,224,10562,DNg38,descending neuron,xl,,3743656023,acetylcholine,0.8585282952450825,,,
225,225,10564,AN19A009,ascending neuron,BA,19A,3955693412,acetylcholine,0.8736998683554901,RHS,,
226,226,10568,AN19B009,ascending neuron,BA,19B,3716852951,acetylcholine,0.9657368459066892,RHS,,
227,227,10579,IN08B003,intrinsic neuron,BI,08B,3815890344,acetylcholine,0.9644991432971616,LHS,,
228,228,10582,IN19A001,intrinsic neuron,BI,19A,4576458012,acetylcholine,0.9681957445526086,LHS,,
229,229,10583,IN01A003,intrinsic neuron,BI,01A,4257079220,acetylcholine,0.9463779897060924,RHS,,
230,230,10584,IN13A001,intrinsic neuron,IR,13A,4713226048,gaba,0.7857844791736144,LHS,,
231,231,10587,IN07B006,intrinsic neuron,BI,07B,3714196370,glutamate,0.95396570245766,LHS,,
232,232,10590,IN03B015,intrinsic neuron,II,03B,3732513323,gaba,0.8628816582056795,RHS,,
233,233,10591,AN05B002,ascending neuron,BA,05B,3715382025,gaba,0.8568828423200906,RHS,,
234,234,10593,IN07B006,intrinsic neuron,BI,07B,3695014100,glutamate,0.9477440014719686,LHS,,
235,235,10594,IN07B002,intrinsic neuron,BI,07B,5046636741,acetylcholine,0.7581764651768128,RHS,,
236,236,10595,AN19B010,ascending neuron,BA,19B,3606313090,acetylcholine,0.9514977604889036,RHS,,
237,237,10596,,intrinsic neuron,II,TBD,1526008592,acetylcholine,0.9279737882731588,LHS,,
238,238,10599,IN03B015,intrinsic neuron,II,03B,3629988007,gaba,0.9029379995261426,LHS,,
239,239,10602,,ascending neuron,IA,TBD,2847861325,acetylcholine,0.9361384070542192,RHS,,
240,240,10604,AN03A001,ascending neuron,BA,03A,3816827386,acetylcholine,0.6433865093520448,LHS,,
241,241,10605,IN06B012,intrinsic neuron,BI,06B,4222721848,gaba,0.7820468713250407,LHS,,
242,242,10607,IN26X001,intrinsic neuron,IR,26X,4094349248,gaba,0.9107562425654826,LHS,,
243,243,10608,IN14A003,intrinsic neuron,CR,14A,3664036005,glutamate,0.973879915273812,RHS,,
244,244,10609,IN19A005,intrinsic neuron,II,19A,3623133301,acetylcholine,0.6990723032221998,LHS,,
245,245,10613,AN07B003,ascending neuron,BA,07B,4313772173,glutamate,0.3404414652402259,LHS,,
246,246,10618,IN19A002,intrinsic neuron,IR,19A,4274317041,gaba,0.7022127775427985,LHS,,
247,247,10620,IN13B003,intrinsic neuron,CR,13B,4068440930,gaba,0.7185236928231775,RHS,,
248,248,10621,DNut038,descending neuron,ut,,3558060514,acetylcholine,0.7980894482597511,,,
249,249,10622,AN10B001,ascending neuron,BA,10B,2596337869,acetylcholine,0.92722400526457,RHS,,
250,250,10623,DNxl134,descending neuron,xl,,4642376511,acetylcholine,0.9320640934185288,,,
251,251,10626,IN14A003,intrinsic neuron,CR,14A,3911517131,glutamate,0.9419676789064264,LHS,,
252,252,10627,IN13B002,intrinsic neuron,CR,13B,3978163480,gaba,0.8133932188770793,LHS,,
253,253,10633,DNut060,descending neuron,ut,,3615726317,acetylcholine,0.7820029402867242,,,
254,254,10634,DNp06,descending neuron,lt,,3571178279,acetylcholine,0.8707030401407619,,,
255,255,10635,IN13A021,intrinsic neuron,IR,13A,586030042,gaba,0.7422695882840479,RHS,,
256,256,10639,DNxn142,descending neuron,xn,,3490520319,acetylcholine,0.8663934328068117,,,
257,257,10647,AN01A014,ascending neuron,BA,01A,2622555257,acetylcholine,0.8344099589139711,RHS,,
258,258,10648,DNxl133,descending neuron,xl,,3527493041,acetylcholine,0.9107665770251188,,,
259,259,10650,AN00A002,ascending neuron,BA,00A,4263879504,gaba,0.916165732594518,Midline,,
260,260,10653,IN08A004,intrinsic neuron,IR,08A,3564047223,glutamate,0.9256676899425742,LHS,,
261,261,10654,IN06B012,intrinsic neuron,BI,06B,4070551248,gaba,0.7696652888394571,RHS,,
262,262,10656,DNxl054,descending neuron,xl,,3607837321,acetylcholine,0.9372117086449838,,,
263,263,10657,AN06B003,ascending neuron,BA,06B,3930603836,gaba,0.9165098459887008,RHS,,
264,264,10659,,intrinsic neuron,BI,TBD,3797034842,glutamate,0.912414841253589,RHS,,
265,265,10661,IN01A005,intrinsic neuron,BI,01A,3432343745,acetylcholine,0.8871346924099678,RHS,,
266,266,10663,DNxn099,descending neuron,xn,,3542833027,acetylcholine,0.8464215759800972,,,
267,267,10665,IN01A007,intrinsic neuron,CI,01A,2600392344,acetylcholine,0.8627906733509506,LHS,,
268,268,10672,IN08A004,intrinsic neuron,IR,08A,3471163253,glutamate,0.9130541749217188,RHS,,
269,269,10673,IN07B007,intrinsic neuron,BI,07B,4323786581,glutamate,0.9587324138758704,RHS,,
270,270,10679,IN09A008,intrinsic neuron,IR,09A,2304833950,gaba,0.8834022734493803,LHS,,
271,271,10681,DNp26,descending neuron,xn,,2031035776,acetylcholine,0.7545844930996911,,,
272,272,10686,,intrinsic neuron,II,TBD,6680400808,gaba,0.7410307958899387,RHS,,
273,273,10690,IN17A001,intrinsic neuron,IR,17A,4468840770,acetylcholine,0.8896461129721117,RHS,,
